,genre,genre_full,plot
Beetlejuice,Comedy,"Comedy, Fantasy","When a recently-deceased ghost couple find their now-vacant home invaded by an obnoxious family, they hire a sleazy ghost who gets rid of humans to help them."
Big,Comedy,"Comedy, Drama, Family","After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
Bull Durham,Comedy,"Comedy, Romance, Sport",A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.
Coming to America,Comedy,"Comedy, Romance","An extremely pampered African Prince travels to Queens, New York, and goes undercover to find a wife whom he can respect for her intelligence and will."
Die Hard,Action,"Action, Thriller","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
Dirty Rotten Scoundrels,Comedy,"Comedy, Crime","Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of $50,000 first."
Killer Klowns from Outer Space,Comedy,"Comedy, Horror, Sci-Fi",Aliens who look like clowns come from outer space and terrorize a small town.
Women on the Verge of a Nervous Breakdown,Comedy,"Comedy, Drama",A television actress encounters a variety of eccentric characters after embarking on a journey to discover why her lover abruptly left her.
Torch Song Trilogy,Comedy,"Comedy, Drama, Romance",Tony Award-winning actor and playwright Harvey Fierstein re-creates his role as the unsinkable Arnold Beckoff in this film adaptation of the smash Broadway play TORCH SONG TRILOGY. A very ...
Who Framed Roger Rabbit,Comedy,"Animation, Adventure, Comedy",A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
The Adventures of Baron Munchausen,Comedy,"Adventure, Comedy, Fantasy",An account of Baron Munchausen's supposed travels and fantastical experiences with his band of misfits.
Back to the Future Part II,Comedy,"Adventure, Comedy, Sci-Fi","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
Batman,Action,"Action, Adventure",The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
The Big Picture,Comedy,"Comedy, Drama, Romance","Film school grad Nick Chapman thought his career was made after his award winning short film, but discovered Hollywood wasn't as easy as it seems."
Bill & Ted's Excellent Adventure,Comedy,"Adventure, Comedy, Music",Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.
Dead Poets Society,Comedy,"Comedy, Drama",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
The Killer,Action,"Action, Crime, Drama","A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded, only to be double-crossed by his boss."
Do the Right Thing,Comedy,"Comedy, Drama","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
Heathers,Comedy,Comedy,"In order to get out of the snobby clique that is destroying her good-girl reputation, an intelligent teen teams up with a dark sociopath in a plot to kill the cool kids."
Indiana Jones and the Last Crusade,Action,"Action, Adventure, Fantasy","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against Adolf Hitler's Nazis again to stop them obtaining its powers."
Meet the Feebles,Comedy,"Comedy, Music, Musical",Multiple animals and insects experience the sleazier side of show business while working on a variety show.
Mystery Train,Comedy,"Comedy, Crime, Drama",Three stories are connected by a Memphis hotel and the spirit of Elvis Presley.
National Lampoon's Christmas Vacation,Comedy,Comedy,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
Say Anything...,Comedy,"Comedy, Drama, Romance",A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.
She-Devil,Comedy,Comedy,A cunning and resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.
Steel Magnolias,Comedy,"Comedy, Drama, Romance","A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
The War of the Roses,Comedy,Comedy,A married couple try everything to get each other to leave the house in a vicious divorce battle.
When Harry Met Sally...,Comedy,"Comedy, Drama, Romance","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
Cry-Baby,Comedy,"Comedy, Musical","In 1950s Baltimore, a bad boy with a heart of gold wins the love of a good girl, whose boyfriend sets out for revenge."
Days of Thunder,Action,"Action, Drama, Sport",A young hot-shot stock car driver gets his chance to compete at the top level.
The Hunt for Red October,Action,"Action, Adventure, Thriller","In November 1984, the Soviet Union's best submarine captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?"
Iron & Silk,Comedy,"Comedy, Drama","Mark Salzman always was interested in Kung-Fu and the Chinese culture, claims to have seen every Kung-Fu movie. 1982, with a degree in Chinese literature, he visits a province university in..."
Mermaids,Comedy,"Comedy, Drama, Romance","An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds."
La Femme Nikita,Action,"Action, Thriller","Convicted felon Nikita, instead of going to jail, is given a new identity and trained, stylishly, as a top secret spy/assassin."
Pretty Woman,Comedy,"Comedy, Romance","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
Pump Up the Volume,Comedy,"Comedy, Drama, Music",Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens.
Quick Change,Comedy,"Comedy, Crime","Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible."
Rosencrantz & Guildenstern Are Dead,Comedy,"Comedy, Drama",Two minor characters from the play 'Hamlet' stumble around unaware of their scripted lives and unable to deviate from them.
Barton Fink,Comedy,"Comedy, Drama, Thriller",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
Until the End of the World,Action,"Action, Drama, Sci-Fi","In 1999, Claire's life is forever changed after she survives a car crash. She rescues Sam and starts traveling around the world with him. Writer Eugene follows them and writes their story, as a way of recording dreams is being invented."
Curly Sue,Comedy,"Comedy, Drama, Family","A homeless man and his young companion, who survive by conning people, meet a woman who may need them even more than they need her."
Delicatessen,Comedy,"Comedy, Crime",Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.
Dogfight,Comedy,"Comedy, Drama, Romance","Before leaving to fight in Vietnam, a group of teenagers play a game where they try to seduce the ugliest girl they can find."
Dutch,Comedy,"Comedy, Drama","To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from a prep school, only to learn that her son isn't the nicest kid."
The Fisher King,Comedy,"Comedy, Drama, Fantasy","A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake."
L.A. Story,Comedy,"Comedy, Drama, Fantasy","With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles."
Mediterraneo,Comedy,"Comedy, Drama, War","In WW2, an Italian Army unit of misfits occupies an isolated non-strategic Greek island for the duration of the war."
New Jack City,Action,"Action, Crime, Drama",A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.
Night on Earth,Comedy,"Comedy, Drama",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
Nothing But Trouble,Comedy,Comedy,A businessman and his friends are captured by a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.
Point Break,Action,"Action, Crime, Thriller",An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
The Rocketeer,Action,"Action, Adventure, Family",A young pilot stumbles onto a prototype jetpack that allows him to become a high flying masked hero.
Rubin and Ed,Comedy,"Comedy, Drama","An unsuccessful, nervous businessman gradually comes to befriend an eccentric, asocial nerd on a trip to Utah to bury a deceased cat."
Slacker,Comedy,"Comedy, Drama","A day in the life of Austin, Texas as the camera roams from place to place and provides a brief look at the overeducated, the social misfits, the outcasts and the oddballs."
Terminator 2,Action,"Action, Sci-Fi","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
Once Upon a Time in China,Action,"Action, Adventure, Biography","Set in late 19th century Canton this martial arts film depicts the stance taken by the legendary martial arts hero Wong Fei-Hung (1847-1924) against foreign forces' (English, French and ..."
Aladdin,Comedy,"Animation, Adventure, Comedy","When a street urchin vies for the love of a beautiful princess, he uses a genie's magic power to make himself off as a prince in order to marry her."
Brain Donors,Comedy,Comedy,"Three manic idiots; a lawyer, cab driver and a handyman team up to run a ballet company to fulfill the will of a millionaire. Stooge-like antics result as the trio try to outwit the rich ..."
Juice,Action,"Action, Crime, Drama","Four inner-city teenagers get caught up in the pursuit of power and happiness, which they refer to as ""the juice""."
The Last of the Mohicans,Action,"Action, Adventure, Drama",Three trappers protect a British Colonel's daughters in the midst of the French and Indian War.
A League of Their Own,Comedy,"Comedy, Drama, Family",Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.
The Living End,Comedy,"Comedy, Drama","Luke is a gay hustler. Jon is a movie critic. Both are HIV positive. They go on a hedonistic, dangerous journey, their motto ""Fuck the world""."
My Cousin Vinny,Comedy,"Comedy, Crime","Two New Yorkers are accused of murder in rural Alabama while on their way back to college, and one of their cousins--an inexperienced, loudmouth lawyer not accustomed to Southern rules and manners--comes in to defend them."
Noises Off...,Comedy,Comedy,"A travelling theater group find so much action going on behind-the-scenes, they almost ruin the performances."
The Player,Comedy,"Comedy, Crime, Drama","A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?"
Shadows and Fog,Comedy,Comedy,"With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer."
Sneakers,Comedy,"Comedy, Crime, Drama","A security pro finds his past coming back to haunt him, when he and his unique team are tasked with retrieving a particularly important item."
Toys,Comedy,"Adventure, Comedy, Drama","When a military general inherits a toy making company and begins making war toys, his employees band together to stop him before he ruins the name of Zevo Toys forever."
Troll 2,Comedy,"Comedy, Fantasy, Horror","A family vacationing in a small town discovers the entire town is inhabited by goblins in disguise as humans, who plan to eat them."
Wayne's World,Comedy,"Comedy, Music",Two slacker friends try to promote their public-access cable show.
Arizona Dream,Comedy,"Comedy, Drama, Fantasy",A young New Yorker goes to Arizona where he finds freedom to both love and dream.
Army of Darkness,Comedy,"Comedy, Horror","A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home."
Dave,Comedy,"Comedy, Romance","To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place."
Dazed and Confused,Comedy,Comedy,The adventures of high school and junior high students on the last day of school in May 1976.
Demolition Man,Action,"Action, Crime, Sci-Fi",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.
Ed and His Dead Mother,Comedy,"Horror, Comedy","A mourning son makes a deal to reanimate his one year dead mother, however things turn into an unexpected direction."
Fear of a Black Hat,Comedy,"Comedy, Music","A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group."
Groundhog Day,Comedy,"Comedy, Fantasy, Romance",A weatherman finds himself inexplicably living the same day over and over again.
The Wedding Banquet,Comedy,"Comedy, Drama, Romance","To satisfy his nagging parents, a gay landlord and a female tenant agree to a marriage of convenience, but his parents arrive to visit and things get out of hand."
Naked,Comedy,"Comedy, Drama","Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life."
Ninja Scroll,Action,"Animation, Action, Adventure",A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
Point of No Return,Action,"Action, Crime, Drama","Drug addict Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top secret U.S. government Agent ""Bob"" arranges a staged death, so Maggie ..."
Romeo Is Bleeding,Action,"Action, Crime, Drama","A womanizing, crooked cop on the payroll of the mafia is confronted with the reality of his double life after he is asked to kill a beautiful and ruthless Russian gangster."
The Sandlot,Comedy,"Comedy, Drama, Family","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Short Cuts,Comedy,"Comedy, Drama",The day-to-day lives of several suburban Los Angeles residents.
Iron Monkey,Action,"Action, Crime, Drama",A martial artist/doctor steals from the corrupt authorities as a masked thief to give to the poor while another martial artist/doctor is forced to hunt him down. But a major threat unites them as a powerful and traitorous shaolin monk takes over the authorities.
Sleepless in Seattle,Comedy,"Comedy, Drama, Romance",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
So I Married an Axe Murderer,Comedy,"Comedy, Romance",A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.
Tombstone,Action,"Action, Biography, Drama","A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
"The Adventures of Priscilla, Queen of the Desert",Comedy,"Comedy, Music",Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.
Barcelona,Comedy,"Comedy, Drama, Romance","Ted, a stuffy white guy from Illinois working in sales for the Barcelona office of a US corporation, is paid an unexpected visit by his somewhat less stuffy cousin Fred, who is an officer ..."
Clerks,Comedy,Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
Clifford,Comedy,Comedy,"Clifford is a ten-year-old troublemaker, who puts not only his parents through hell, but also his uncle with whom his parents have discarded him to."
Crooklyn,Comedy,"Comedy, Drama","Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973."
Crumb,Comedy,"Documentary, Biography, Comedy",An intimate portrait of the controversial cartoonist and his traumatized family.
Dumb and Dumber,Comedy,Comedy,The cross-country adventures of 2 good-hearted but incredibly stupid friends.
Four Weddings and a Funeral,Comedy,"Comedy, Drama, Romance","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
The Hudsucker Proxy,Comedy,"Comedy, Drama, Fantasy",A naive business graduate is installed as president of a manufacturing company as part of a stock scam.
Il Postino,Comedy,"Biography, Comedy, Drama",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
Reality Bites,Comedy,"Comedy, Drama, Romance","A documentary filmmaker and her fellow Gen X graduates face life after college, looking for work and love in Houston."
The Ref,Comedy,"Comedy, Crime, Drama","A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve."
Eat Drink Man Woman,Comedy,"Comedy, Drama, Romance",A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.
The American President,Comedy,"Comedy, Drama, Romance","Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but ""politics is perception"", and sparks fly anyway."
Antonia's Line,Comedy,"Comedy, Drama","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
Babe,Comedy,"Comedy, Drama, Family","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
Billy Madison,Comedy,Comedy,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again."
Clueless,Comedy,"Comedy, Romance","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way."
Dead Presidents,Action,"Action, Crime, Drama","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
Empire Records,Comedy,"Comedy, Drama, Music",A day in the life of the employees of Empire Records. Except this is a day where everything comes to a head for a number of them facing personal crises - can they pull through together? And...
The Englishman Who Went Up a Hill But Came Down a Mountain,Comedy,"Comedy, Drama","When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that."
Four Rooms,Comedy,Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.
French Kiss,Comedy,"Comedy, Drama, Romance","A woman flies to France to confront her straying fiancé, but gets into trouble when the charming crook seated next to her uses her for smuggling."
Friday,Comedy,"Comedy, Drama","Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night."
Hackers,Comedy,"Comedy, Crime, Drama",This movie is about hackers who are blamed for making a virus that will capsize 5 oil tankers.
Jeffrey,Comedy,"Comedy, Drama","Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ..."
Ghost in the Shell,Action,"Animation, Action, Crime",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
Mallrats,Comedy,"Comedy, Romance","Both dumped by their girlfriends, two best friends seek refuge in the local mall."
Mortal Kombat,Action,"Action, Adventure, Fantasy",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
Sabrina,Comedy,"Comedy, Drama","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
Tommy Boy,Comedy,"Adventure, Comedy","After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business."
Toy Story,Comedy,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Welcome to the Dollhouse,Comedy,"Comedy, Drama","An unattractive seventh grader struggles to cope with inattentive parents, snobbish classmates, a smart older brother, an attractive younger sister, and her own insecurities in suburban New Jersey."
Beautiful Girls,Comedy,"Comedy, Drama, Romance",A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
Beautiful Thing,Comedy,"Comedy, Drama, Romance","In a suburb of London, young Jamie is escaping sport hours, to avoid being the victim of his comrades. Young Ste, his neighbor, is beaten by his father, and comes to sleep overnight. They discover new feelings, sleeping in the same bed."
Bio-Dome,Comedy,Comedy,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
The Birdcage,Comedy,Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
Bottle Rocket,Comedy,"Comedy, Crime, Drama",Three friends plan to pull off a simple robbery and go on the run.
A Summer's Tale,Comedy,"Comedy, Drama, Romance","A shy maths graduate takes a holiday in Dinard before starting his first job. He hopes his sort-of girlfriend will join him, but soon strikes up a friendship with another girl working in ..."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,"Comedy, Crime","""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""..."
Flirting with Disaster,Comedy,Comedy,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents."
From Dusk Till Dawn,Action,"Action, Crime, Horror","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
Happy Gilmore,Comedy,"Comedy, Sport",A rejected hockey player puts his skills to the golf course to save his grandmother's house.
Independence Day,Action,"Action, Adventure, Sci-Fi","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
Jack,Comedy,"Comedy, Drama, Fantasy","Because of an unusual aging disorder that has aged him four times faster than a normal human being, a boy enters the fifth grade for the first time with the appearance of a 40 year old man."
Kingpin,Comedy,"Comedy, Sport","A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches."
Matilda,Comedy,"Comedy, Family, Fantasy","Story of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable."
The Rock,Action,"Action, Adventure, Thriller","A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
Schizopolis,Comedy,"Comedy, Fantasy, Mystery","Fletcher Munson, the lethargic employee of a pseudo-religious self help company, and his doppelganger, the friendly but dull dentist Dr. Jeffrey Korchek."
Swingers,Comedy,"Comedy, Drama",Wannabe actors become regulars in the stylish neo-lounge scene; Trent teaches his friend Mike the unwritten rules of the scene.
The Truth About Cats & Dogs,Comedy,"Comedy, Romance",A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.
Waiting for Guffman,Comedy,Comedy,An aspiring director and the marginally talented amateur cast of a hokey small-town Missouri musical production go overboard when they learn that someone from Broadway will be in attendance.
The Big Lebowski,Comedy,"Comedy, Crime","""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Buffalo '66,Comedy,"Comedy, Crime, Drama","After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit."
Life Is Beautiful,Comedy,"Comedy, Drama, War","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
"Black Cat, White Cat",Comedy,"Comedy, Crime, Romance","Matko is a small time hustler, living by the river Danube with his 17 year old son Zare. After a failed business deal he owes money to the much more successful gangster Dadan. Dadan has a ..."
Deconstructing Harry,Comedy,Comedy,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him."
Dream with the Fishes,Comedy,"Comedy, Drama","Terry is a suicidal voyeur who treats a dying addict to a final binge, but Terry will only do this if he promises to kill him."
The Fifth Element,Action,"Action, Adventure, Sci-Fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
"God Said, 'Ha!'",Comedy,"Comedy, Drama",Julia Sweeney tells the viewers the monologue about the hard time in her life when her brother fought with cancer and she was also diagnosed with a rare form of cancer.
Gummo,Comedy,"Comedy, Drama","Lonely residents of a tornado-stricken Ohio town wander the deserted landscape trying to fulfill their boring, nihilistic lives."
The House of Yes,Comedy,"Comedy, Drama",A mentally unbalanced young woman - who is convinced she is Jackie Kennedy - flies into a murderous rage when her brother returns home to reveal he is engaged.
Hurlyburly,Comedy,"Comedy, Drama",Hollywood movers and shakers dissect their own personal lives when everything seems to clash together.
My Best Friend's Wedding,Comedy,"Comedy, Drama, Romance","When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding."
As Good as It Gets,Comedy,"Comedy, Drama, Romance","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
Private Parts,Comedy,"Biography, Comedy, Drama","The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star."
Romy and Michele's High School Reunion,Comedy,Comedy,"Two dim-witted, inseparable friends hit the road for their ten-year high school reunion and concoct an elaborate lie about their lives in order to impress their classmates."
Sliding Doors,Comedy,"Comedy, Drama, Fantasy","A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel."
Soul Food,Comedy,"Comedy, Drama","One person can keep a family together and, when that one person is gone, a family can be torn apart."
Toy Story 2,Comedy,"Animation, Adventure, Comedy","When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting."
The Truman Show,Comedy,"Comedy, Drama, Sci-Fi",An insurance salesman/adjuster discovers his entire life is actually a television show.
The Waterboy,Comedy,"Comedy, Sport",A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.
Being John Malkovich,Comedy,"Comedy, Drama, Fantasy",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
Blade,Action,"Action, Horror","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
Dogma,Comedy,"Adventure, Comedy, Drama",An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.
Fear and Loathing in Las Vegas,Comedy,"Adventure, Comedy, Drama",An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
Godzilla,Action,"Action, Sci-Fi, Thriller","A giant, reptilian monster surfaces, leaving destruction in its wake. To stop the monster (and its babies), an earthworm scientist, his reporter ex-girlfriend, and other unlikely heroes team up to save their city."
"Lock, Stock and Two Smoking Barrels",Comedy,"Comedy, Crime","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
Resident Evil,Action,"Action, Horror, Sci-Fi","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident."
Wag the Dog,Comedy,"Comedy, Drama","Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a Presidential sex scandal."
The Wedding Singer,Comedy,"Comedy, Music, Romance","Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
X-Men,Action,"Action, Adventure, Sci-Fi",Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.
Zero Effect,Comedy,"Comedy, Crime, Drama",The world's greatest detective Daryl Zero aided by his associate Steve Arlo investigates a complex and mysterious case of blackmail and missing keys for shady tycoon Gregory Stark who is less than forthcoming about what is really happening!
Henry Fool,Comedy,"Comedy, Drama","Socially inept garbage man Simon is befriended by Henry Fool, a witty roguish, but talentless novelist. Henry opens a magical world of literature to Simon who turns his hand to writing the ..."
Ronin,Action,"Action, Adventure, Crime",A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.
Shrek,Comedy,"Animation, Adventure, Comedy","After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back."
Pecker,Comedy,"Comedy, Drama","A talented young photographer, who enjoys snapping photos of his satirical, perverted Baltimore neighborhood and his wacky family, gets dragged into a world of pretentious artists from New York City and finds newfound fame."
Election,Comedy,"Comedy, Drama, Romance","A high school teacher's personal life becomes complicated as he works with students during the school elections, particularly with an obsessive overachiever determined to become student body president."
Rushmore,Comedy,"Comedy, Drama",The extracurricular king of Rushmore Preparatory School is put on academic probation.
You've Got Mail,Comedy,"Comedy, Drama, Romance",Two business rivals who despise each other in real life unwittingly fall in love over the Internet.
The Iron Giant,Action,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
Bowfinger,Comedy,Comedy,"When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him."
BASEketball,Comedy,"Comedy, Sport","Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team."
The Matrix,Action,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
SLC Punk!,Comedy,"Comedy, Drama, Music",In the early 1980s Stevo and Heroin Bob are the only two dedicated punks in conservative Salt Lake City.
The Siege,Action,"Action, Thriller","The secret U.S. abduction of a suspected terrorist leads to a wave of terrorist attacks in New York City, which leads to the declaration of martial-law."
Shakespeare in Love,Comedy,"Comedy, Drama, History","A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays."
Go,Comedy,"Comedy, Crime","Go! tells the story of the events after a drug deal, told from three different points of view."
A Midsummer Night's Dream,Comedy,"Comedy, Fantasy, Romance","Lovers' lives are complicated by city law, feuding faerie royalty, and... love."
The Bird People in China,Comedy,"Adventure, Comedy, Drama",A salaryman and yakuza are each sent by their bosses to a remote Chinese village but discover more then they expected.
Big Daddy,Comedy,"Comedy, Drama","A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father."
The Boondock Saints,Action,"Action, Crime, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
Spider-Man,Action,"Action, Adventure, Sci-Fi","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
High Fidelity,Comedy,"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
